forest,muSymb,MUname,order,soil_name,Area,order_r,
ChEF,7,"Blanton sand, 0 to 8 percent slopes",Ultisols,blanton,30.56,ultisols,
ChEF,70,"Alapaha loamy sand, 2 to 8 percent slopes",Ultisols,alapaha,12.06,ultisols,
SEF,Ba,Bayboro loam,Ultisols,bayboro,2.71,ultisols,
SEF,Be,Bethera loam,Ultisols,bethera,146.37,ultisols,
SEF,BoA,Bonneau loamy sand,Ultisols,bonneau,42.46,ultisols,
SEF,CoB,Caroline fine sandy loam,Ultisols,caroline,14.00,ultisols,
SEF,Cv,Craven loam,Ultisols,craven,254.08,ultisols,
SEF,Du,Duplin fine sandy loam,Ultisols,duplin,145.87,ultisols,
SEF,GoA,Goldsboro loamy sand,Ultisols,goldsboro,115.66,ultisols,
SEF,Le,Lenoir fine sandy loam,Ultisols,lenoir,175.32,ultisols,
SEF,Lo,Leon fine sand,Spodosols,leon,0.68,spodosols,
SEF,Ly,Lynchburg fine sandy loam,Ultisols,lynchburg,5.01,ultisols,
SEF,Mg,"Meggett loam, Megget clay loam",Alfisols,meggett,949.66,alfisols,
SEF,NoA,Norfolk loamy sand,Ultisols,norfolk,6.50,ultisols,
SEF,Oc,Ocilla loamy fine sand,Ultisols,ocilla,2.00,ultisols,
SEF,Pe,Pantego fine sandy loam,Ultisols,pantego,4.04,ultisols,
SEF,Ra,Rains fine sandy loam,Ultisols,rains,5.07,ultisols,
SEF,Wa,Wahee loam,Ultisols,wahee,621.69,ultisols,
